"year","island","island_code","region","region_code","district","district_code","population"
"2024","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",4680
"2024","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2753
"2024","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3875
"2024","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4743
"2024","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",6047
"2024","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",5108
"2024","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",7353
"2024","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3796
"2024","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",3918
"2024","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",5448
"2024","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",4854
"2024","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",4191
"2024","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",3283
"2024","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",6635
"2024","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",5672
"2024","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",4888
"2024","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4552
"2024","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5126
"2024","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",4397
"2024","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",3982
"2024","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1045
